FlightDate,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,Carrier,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,Origin,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,Dest,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,CRS_DEP_TIME,DepTime,DepDelay,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ArrTime,ArrDelay,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,Cancelled,CANCELLATION_CODE,Diverted,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,Distance,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,DIV_AIRPORT_LANDINGS,DIV_REACHED_DEST,DIV_ACTUAL_ELAPSED_TIME,DIV_ARR_DELAY,DIV_DISTANCE,DIV1_AIRPORT,DIV1_AIRPORT_ID,DIV1_AIRPORT_SEQ_ID,DIV1_WHEELS_ON,DIV1_TOTAL_GTIME,DIV1_LONGEST_GTIME,DIV1_WHEELS_OFF,DIV1_TAIL_NUM,Origin_lat,Origin_long,Dest_lat,Dest_long,Dest_Airport_name
1/1/2025,AS,19930,AS,N283AK,357,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14771,1477104,32457,SFO,"San Francisco, CA",CA,06,California,91,1859,1854,-5,0,0,-1,1800-1859,19,1913,2216,6,2303,2222,-41,0,0,-2,2300-2359,0,,0,424,388,363,1,2704,11,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,37.6213,-122.379,San Francisco Intl
1/1/2025,AS,19930,AS,N434AS,317,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,0700,0653,-7,0,0,-1,0700-0759,19,0712,0944,4,1031,0948,-43,0,0,-2,1000-1059,0,,0,391,355,332,1,2537,11,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,45.5898,-122.5951,Portland Intl
1/1/2025,AS,19930,AS,N491AS,459,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,1646,1639,-7,0,0,-1,1600-1659,28,1707,1933,7,2020,1940,-40,0,0,-2,2000-2059,0,,0,394,361,326,1,2496,10,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,47.4502,-122.3088,Seattle-Tacoma Intl
1/1/2025,AS,19930,AS,N552AS,537,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,0700,0702,2,2,0,0,0700-0759,15,0717,0939,11,1033,0950,-43,0,0,-2,1000-1059,0,,0,393,348,322,1,2496,10,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,47.4502,-122.3088,Seattle-Tacoma Intl
1/1/2025,AS,19930,AS,N569AS,389,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14679,1467903,33570,SAN,"San Diego, CA",CA,06,California,91,1605,1559,-6,0,0,-1,1600-1659,20,1619,1921,7,1944,1928,-16,0,0,-2,1900-1959,0,,0,399,389,362,1,2588,11,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,32.7338,-117.1933,San Diego Intl
1/1/2025,AS,19930,AS,N971AK,311,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,2020,2011,-9,0,0,-1,2000-2059,21,2032,2309,13,2351,2322,-29,0,0,-2,2300-2359,0,,0,391,371,337,1,2537,11,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,45.5898,-122.5951,Portland Intl
1/1/2025,B6,20409,B6,N2086J,165,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12,Florida,33,1518,1541,23,23,1,1,1500-1559,17,1558,1920,7,1857,1927,30,30,1,2,1800-1859,0,,0,219,226,202,1,1249,5,23,0,7,0,0,,,,0,,,,,,,,,,,,,42.3656,-71.0096,26.5362,-81.7552,Southwest Florida Intl
1/1/2025,B6,20409,B6,N2156J,2187,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,2050,2043,-7,0,0,-1,2000-2059,20,2103,2352,9,0029,0001,-28,0,0,-2,0001-0559,0,,0,399,378,349,1,2611,11,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,33.9416,-118.4085,Los Angeles Intl
1/1/2025,B6,20409,B6,N2156J,287,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0619,0611,-8,0,0,-1,0600-0659,20,0631,0915,13,0955,0928,-27,0,0,-2,0900-0959,0,,0,396,377,344,1,2611,11,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,33.9416,-118.4085,Los Angeles Intl
1/1/2025,B6,20409,B6,N2180J,687,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1540,1538,-2,0,0,-1,1500-1559,17,1555,1843,7,1916,1850,-26,0,0,-2,1900-1959,0,,0,396,372,348,1,2611,11,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,33.9416,-118.4085,Los Angeles Intl
